시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경상남도,김해시,지방도,1042호선,서부로,03,경상남도 김해시 진영읍 서부로218번길 1,경상남도 김해시 진영읍 죽곡리 262-5,35.278503,128.766609,03,02,Y,571,01,03,02,녹색/황색/적색+녹색/황색/적색,29+111,02,03,01,Y,00:00,05:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,지방도,1042호선,서부로,03,경상남도 김해시 진영읍 서부로 273,경상남도 김해시 진영읍 죽곡리 587-1,35.274226,128.763623,03,02,Y,570,01,04,03,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,29+95+16,02,03,01,Y,00:00,05:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,지방도,1042호선,서부로,03,경상남도 김해시 진영읍 테크노밸리길 3,경상남도 김해시 진영읍 죽곡리 232-5,35.273818,128.762944,03,02,Y,569,01,04,03,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,33+91+16,02,03,01,Y,00:00,05:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,지방도,1042호선,서부로,03,,경상남도 김해시 진영읍 죽곡리 698-1,35.27322952,128.761547,03,02,Y,568,01,04,03,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,28+96+16,02,03,01,Y,00:00,05:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,지방도,1042호선,서부로,03,경상남도 김해시 진영읍 서부로 307,경상남도 김해시 진영읍 의전리 62,35.272132,128.760743,03,02,Y,567,01,04,03,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,16+97+27,02,03,01,Y,00:00,05:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,지방도,1042호선,서부로,03,경상남도 김해시 진영읍 서부로 338,경상남도 김해시 진영읍 의전리 235-12,35.270924,128.757448,03,02,Y,566,01,04,05,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,15+35+40+35+15,02,03,01,N,00:00,00:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,지방도,1042호선,서부로,03,경상남도 김해시 진영읍 서부로 361-5,경상남도 김해시 진영읍 의전리 130-2,35.268818,128.756737,03,02,Y,565,01,04,03,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,16+95+29,02,03,01,Y,00:00,05:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,지방도,1042호선,서부로,03,경상남도 김해시 진영읍 서부로 369,경상남도 김해시 진영읍 의전리 148,35.268389,128.755841,03,02,Y,564,01,03,02,녹색/황색/적색+녹색/황색/적색,20+120,02,03,01,N,00:00,00:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,시도,,여래로,03,경상남도 김해시 진영읍 여래로20번길 47,경상남도 김해시 진영읍 진영리 275-43,35.30480023,128.729363,03,02,Y,593,01,04,05,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,18+24+18+30+30,02,03,01,N,00:00,00:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
경상남도,김해시,시도,,김해대로,03,경상남도 김해시 진영읍 김해대로361번길 35,경상남도 김해시 진영읍 진영리 1610,35.309874,128.7295497,03,02,Y,592,01,04,03,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,34+63+23,02,03,01,N,00:00,00:00,N,N,N,,경상남도 김해시청,055-330-6774,2026-06-29,5350000,경상남도 김해시
